equipo_ganador,equipo_primera_sangre,asesinatos_dif,asistencias_dif,oro_dif,nivel_dif,minions_dif,torretas_dif,dragones_dif,heraldos_dif
1,1,-3,-4,-1806,0.0,7,0,-1,-1
1,1,2,4,1265,0.20000000000000018,41,0,1,-1
0,1,-8,-5,-4443,-1.0,-27,0,-1,0
1,1,-2,-6,-927,0.20000000000000018,17,0,-1,0
0,0,4,6,1425,0.20000000000000018,13,0,-1,-1
0,1,2,4,1177,0.40000000000000036,7,0,1,0
0,0,-5,-12,-1586,0.20000000000000018,20,0,1,-1
1,1,-5,-3,-2896,-0.6000000000000005,-4,0,1,1
0,1,3,1,905,0.20000000000000018,-38,0,0,0
1,0,-8,-4,-3887,-0.7999999999999998,-24,0,0,0
0,0,6,5,3413,0.6000000000000005,-8,0,1,0
1,0,-2,-2,-256,-0.40000000000000036,-2,0,1,1
0,0,-3,-4,-1820,-0.40000000000000036,-4,0,0,0
0,0,2,8,625,-0.20000000000000018,7,0,1,0
1,1,-4,-3,-3628,-0.20000000000000018,-70,0,-1,0
1,0,0,1,769,0.39999999999999947,-16,0,-1,1
1,1,0,2,-576,0.0,31,0,1,-1
1,1,-6,-6,-3900,-1.1999999999999993,-42,0,-1,0
0,1,1,2,-7,-0.20000000000000018,-17,0,1,-1
0,0,3,5,1683,0.20000000000000018,-24,0,-1,0
1,1,-7,-9,-4782,-0.6000000000000005,-52,0,-1,0
0,0,2,2,636,0.20000000000000018,-10,0,1,0
0,1,-7,-6,-3421,-1.0,-36,0,1,0
0,1,2,1,976,0.40000000000000036,10,0,1,0
1,1,-1,-1,-211,-0.40000000000000036,1,0,0,-1
0,1,2,1,1221,0.0,18,0,0,0
0,1,6,8,2037,0.6000000000000005,9,0,-1,0
0,0,3,8,817,0.20000000000000018,12,0,1,0
0,0,0,3,-137,0.0,-12,0,-1,0
0,0,-3,-8,-1539,-0.7999999999999998,21,0,1,0
1,1,-2,-6,-1707,-0.5999999999999996,-25,0,-1,0
0,1,-3,-11,-556,0.20000000000000018,85,0,1,0
0,0,2,7,-146,-0.20000000000000018,-26,0,1,-1
0,0,8,8,4083,0.6000000000000005,36,0,-1,1
0,1,0,-1,1389,0.40000000000000036,-3,0,-1,0
1,1,-1,-2,-890,0.0,3,0,1,-1
1,0,-5,-10,-2519,0.0,-2,0,0,0
1,1,-11,-10,-4440,-1.2000000000000002,-18,0,0,0
0,0,1,3,1140,0.0,61,0,-1,-1
1,0,-2,-1,-1656,-0.39999999999999947,-47,0,0,0
0,1,5,10,2171,-0.1999999999999993,-7,0,-1,-1
0,0,8,12,3841,0.40000000000000036,-10,0,0,0
0,1,-7,-10,-885,-0.6000000000000005,16,1,-1,1
1,1,-5,-5,-2752,-0.6000000000000005,-50,0,1,1
